time,txt,name,username,likes,retweets,replies
2021-12-28 18:11:22+00:00,"In the last 60 days, the breakdown of the methods of payment for all of our products has been approximately: 55% Monero 25% Bitcoin 20% credit card",Guns N' Bitcoin,gunsnbitcoin,369.0,41.0,22.0
2021-12-27 20:26:30+00:00,"One either owns #Monero, or they haven't realized what Monero is yet.",ᴜɴᴛʀᴀᴄᴇᴀʙʟᴇ,donttracemebruh,217.0,28.0,12.0
2021-12-25 16:13:49+00:00,"""Monero is bad. Almost every malware mining a crypto turns out to be Monero.""  Actually, malware doesn't exist because of Monero - it existed long before there was such a thing as cryptocurrency. The fault lies with the shitty OS most people run, and the shitty apps.",Howard Chu,hyc_symas,78.0,15.0,8.0
2021-12-20 13:43:07+00:00,"I was disheartened to realize that people don't care about financial privacy and only using #crypto as an investment. But the fact is actual commerce is being done using #Monero which is all about financial privacy.  If you want to transact wallet to wallet, use #XMR.",cypherpunk,cypherpunk,129.0,24.0,6.0
2021-12-19 19:44:05+00:00,Using the following will take you very far privacy-wise:  Browser- @brave @torproject  Messenger- @signalapp  VPN- @ivpnnet @mullvadnet  Search- @DuckDuckGo @startpage @brave  Mobile- @CalyxOS  Email- @ProtonMail @simple_login  Payments- @PrivacyHQ @monero  Extra- Ditch Windows,Henry 🇺🇦,henryistakentoo,343.0,86.0,54.0
2021-12-16 13:26:08+00:00,"I was involved with #Bitcoin early on, but it has sold out to the system that we were trying to fight and protect ourselves from.  Have no worries, #Monero is here.",cypherpunk,cypherpunk,281.0,37.0,14.0
2021-12-16 14:29:10+00:00,"$30T today in offshore banking,  shows people want privacy. That puts Monero at $1.6Million per coin, a 8,571X from today, only a matter of time. #monero #xmr",Crypto (Right to Privacy),bitcoingalway,117.0,21.0,12.0
2021-12-14 13:44:30+00:00,Tell me how Bitcoin is better than Monero. Explain with logic.,LifeMathMoney ₿,lifemathmoney,840.0,60.0,278.0
2021-12-08 10:48:52+00:00,The efforts to delist and suppress the use of #Monero will result in a more powerful and unstoppable variant of digital cash than anyone could have anticipated.  Never bet against the ingenuity and will of the people in adversarial environments to liberate themselves.  @HavenoDEX,ᴜɴᴛʀᴀᴄᴇᴀʙʟᴇ,donttracemebruh,170.0,24.0,4.0
2021-12-08 12:18:04+00:00,"You'll never hear a real #bitcoin OGs (like the ones I follow) badmouth #Monero.  I'm not talking about all these ""influencers"" and ""twitter talking heads"" who shill #bitcoin.  They don't know what #cypherpunk is.  Monero IS cypherpunk!",cypherpunk,cypherpunk,143.0,22.0,5.0
