time,txt,name,username,likes,retweets,replies
2021-12-29 04:17:29+00:00,"The main reason why #XRP will become the most succesful #Crypto in the world, is because one of the creators of Bitcoin (the first cryptocurrency ever created) is also the Chief Technology Officer of Ripple.  If everyone knew this, XRP would already be 5 digits plus.",Blood 🩸,bloodorcrypto,1741.0,303.0,111.0
2021-12-26 23:05:27+00:00,"Binance is planning to move its headquarters to #Dubai, I wish #Ripple would have taken the same steps by moving away from the repellent environment and resorting to a safe and attractive environment such #Saudi Arabia and the #UAE. #Xrp #XRPCommunity #XRP #Crypto",HASSAN ALANAZIم/حَسَنْ أَبَاأَلْرُوُسْ,h_fintech,1091.0,157.0,96.0
2021-12-21 15:38:57+00:00,"One year ago the SEC decided to attack crypto and sue Ripple $XRP.   Ripple has been battling for the entire crypto industry in court ever since… and yet still has people who hate it for terrible reasons, even though what’s at stake IS this entire industry.",MASON VERSLUIS 🌅🏆,masonversluis,318.0,35.0,7.0
2021-12-20 20:31:38+00:00,💥 Ripple was sued DEC 2020 on the precipice of bull run that would have added massive liquidity to XRP  💥 Just as stablecoins are a threat to sovereign fiat   💥 XRP liquidity is a threat to GRC status to USD  💥 This cannot be said for another other crypto  💥 XRP the standard,🇺🇦 HASHR Capital 🇺🇸🇮🇪,khughbreslin,578.0,73.0,16.0
2021-12-16 08:54:12+00:00,"As the SEC &amp; #Ripple begin to discuss a “Final settlement”, #XRPHolders should remember  @bgarlinghouse has repeatedly stated that any settlement that does not include  #Xrp clarity is meaningless. #XRP #Crypto #cryptocurrencies",HASSAN ALANAZIم/حَسَنْ أَبَاأَلْرُوُسْ,h_fintech,1104.0,163.0,54.0
2021-12-14 20:15:27+00:00,"If you think about all of the FUD around $XRP, the Lawsuit, the hate it gets from crypto twitter etc   And the obvious price suppression, in all seriousness once this lawsuit is over and settles in ripples favor, I think it could go absolutely parabolic and pump to $0.89🚀",Altcoin Gordon,altcoingordon,630.0,30.0,275.0
2021-12-13 23:29:04+00:00,The problem with the #Crypto Community is that we’re all so divided.  The SEC v Ripple lawsuit is bigger than just #XRP’s clarity.  This is a case that will affect EVERY single #Cryptocurency.   Ripple isn’t only fighing for #XRP…  They’re fighting for you as a #Crypto Investor,Blood 🩸,bloodorcrypto,958.0,208.0,77.0
2021-12-11 10:22:41+00:00,The @SECGov acts against Corporations. @Ripple case has them against a global army holding the currency #XRP hence the scrutiny and hostility. @SECGov has no jurisdiction over currency which is why they didn’t understand attacking #XRP would be so damaging to them. #CFTC #CRYPTO,Spanishbillionaire,motisxrp,90.0,23.0,7.0
2021-12-05 06:31:32+00:00,All eyes are on #XRP. #Xrp #Ripple #XRPHolders #XRPCommunity #Crypto,HASSAN ALANAZIم/حَسَنْ أَبَاأَلْرُوُسْ,h_fintech,546.0,47.0,33.0
2021-12-02 22:43:34+00:00,"your crypto is not safe...  The @SECGov will release a LIST of cryptos they will ATTACK once the @Ripple SETTLEMENT is done.  $XRP will have clarity, EVERYTHING else will NOT  Then what happens to XRP’s price??",XRP Meesku❤️,mel_senechal,1563.0,202.0,154.0
