time,txt,name,username,likes,retweets,replies
2020-12-30 03:41:06 GMT,"Most people don’t realize it yet, but @Ripple is about to bring clarity for the ENTIRE crypto industry in the United States.   This isn’t just about Ripple and XRP. This is about the future of the entire cryptocurrency industry.",Fintwit,fintwit_news,980.0,161.0,47.0
2020-12-30 23:05:34 GMT,#Ripple CEO @BGarlinghouse wasn’t lying when he said that this was an attack on the whole #Crypto space. Coinbase believes him now that they’re getting sued and will have to defend the fact that #XRP is not a security in court. Karma’s a bitch!,XRPcryptowolf,xrpcryptowolf,605.0,76.0,36.0
2020-12-30 23:08:20 GMT,"Dont want to hear a peep out of any of you talking about how @Ripple is bad for selling their #XRP at a 30% discount. The #XRPCommunity has always said XRP is seperate from Ripple and they don't owe us anything. Their keys, their crypto. They put 600M into the ecosystem. Did you?",100T CyPhlux,cyphlux,360.0,39.0,36.0
2020-12-29 18:54:48 GMT,"IMO, this selloff in #XRP, at the beginning of a bull market, is possibly the greatest opportunity in crypto history. I'm accumulating as much as possible, while prices are low, because I believe that there is a very bright future for Ripple and XRP.",MAGIC,magicpoopcannon,889.0,93.0,69.0
2020-12-29 19:03:42 GMT,"The SEC is a ""shame"" to the entire crypto industry but especially to Ripple's XRP  Stand up guys the SEC is not for us, but against us, speak up  @SEC_News 😡",🇳🇱 MACKATTACK XRP 🇳🇱,mackattackxrp,108.0,25.0,5.0
2020-12-28 15:33:27 GMT,Ripple Should Sue The SEC For Purposely Restricting Innovation In U.S &amp; Aiding China In The Crypto Race. #Xrp #XrpCommunity🃏,XRPJoker🃏,joker_xrp,383.0,42.0,25.0
2020-12-28 19:58:29 GMT,"A crypto market making firm - which just stopped trading XRP - told me they were particularly troubled by the section of the SEC's suit that alleges Ripple asked MMs to push XRP price  ""This is something we tell projects we can't and won't do. You should look into who it was.""",Frank Chaparro,fintechfrank,225.0,30.0,26.0
2020-12-24 07:08:58 GMT,The #crypto market is clearly reacting to the Ripple news.   This is bigger than $XRP.,David Gokhshtein,davidgokhshtein,681.0,52.0,65.0
2020-12-24 14:58:05 GMT,This is not #XRP against the SEC. This is the SEC and the old establishment against all of crypto. Ripple is fighting for the entire community. You should lend your support as it will benefit your project as well.,CryptoBullXRP,cryptobull2020,927.0,122.0,46.0
2020-12-24 15:52:34 GMT,"The same way the Howey Test defined the 4 pillars of what makes a security. Will be the same way that the ""Ripple Test"" will define the many ways that make crypto a currency. If XRP is the standard, then they should be the ones to set the pillars for crypto. Enjoy the show 🤫",The Homeless Queen | 73k,qntmami,359.0,28.0,25.0
2020-12-22 01:37:04 GMT,"The SEC suing Ripple over #XRP is not at all bad for crypto or ""the industry.""   People need to understand why BTC, ETH, etc. are special unregulated financial products; not every ""digital asset"" deserves that stature.",_gabrielShapir0,lex_node,245.0,18.0,12.0
2020-12-22 11:12:39 GMT,"One scenerio: If the SEC determines XRP a security, it may no longer be traded on crytpo exchanges. Once Ripple settles, pays the fine, and registers #XRP as a security it trades on the NASDAQ. Either way, a win. Just be aware, crypto exchanges may delist until that happens.",David Vallieres,vallieres_david,402.0,63.0,97.0
2020-12-22 12:44:37 GMT,If you don’t think the outcome of this SEC / #Ripple suit affects the entire crypto space ... you aren’t thinking clearly  Some of y’all hate $XRP so bad but don’t realize if SEC wins here...  They won’t stop with $XRP  Wake up!,360Trader,360_trader,651.0,84.0,44.0
2020-12-22 19:21:08 GMT,"My humble request: for now, let's focus our ""crypto regulation"" energy on fighting the FinCEN rule, not gossiping about Ripple.  FinCEN is critical to the future of crypto. XRP's security status is not.  If we can do that, I promise I'll talk about XRP all you want next year.",Jake Chervinsky,jchervinsky,355.0,34.0,21.0
2020-12-11 15:18:44 GMT,"I am not smarter than other people, but I stuck myself in just ONE topic for 3 years and that is RIPPLE XRP and regulation. I've done a lot of research, yes a lot of research, that's why I have so much faith in this and know a little more about it than the average crypto investor",🇳🇱 MACKATTACK XRP 🇳🇱,mackattackxrp,460.0,20.0,31.0
2020-12-02 13:55:38 GMT,"I am not smarter than other people, but I stuck myself in just ONE topic for 3 years and that is RIPPLE XRP and regulation. I've done a lot of research, yes a lot of research, that's why I have so much faith in this and know a little more about it than the average crypto investor",🇳🇱 MACKATTACK XRP 🇳🇱,mackattackxrp,502.0,23.0,27.0
2020-11-27 11:17:05 GMT,"Bye bye @coinbase, top 0.5% #XRP holder just switched to @UpholdInc  who are supporting the @FlareNetworks. I suggest all #XRPCommunity do the same. Hello @UpholdInc #crypto #Ripple #ripplenews #RunsOnRipple #xrpcommmunity",TheXRPpirate,tppirate,235.0,18.0,35.0
